time,open,high,low,close,Volume,%K,%D,Normalized Vol,Normalized Price,RROF Smooth,Signal Line,EoM +ve,EoM -ve,Compression +ve,Compression -ve
1739810280,0.9009,0.9009,0.90075,0.90077,16,48.71794871792609,73.50427350426133,80,-86.19047619052719,30.373330845937527,28.437821312202857,NaN,NaN,NaN,NaN
1739810340,0.90079,0.9008,0.90079,0.9008,16,56.41025641025568,64.95726495725376,80,41.11111111112098,27.644816055388176,30.79864378901262,NaN,NaN,NaN,NaN
1739810400,0.9008,0.90086,0.90078,0.90085,16,69.23076923076704,58.11965811964959,80,67.50000000004047,34.130380685230854,32.52447188802548,NaN,NaN,NaN,NaN
1739810460,0.90082,0.90084,0.90082,0.90082,8,63.15789473682827,62.93297345928365,50,-31.25000000004337,37.603834170762475,34.06545411790152,NaN,NaN,NaN,NaN
1739810520,0.90081,0.90085,0.9008,0.90084,41,68.42105263157126,66.93657219972218,100,49.16666666657785,44.2618386828349,37.31857567397539,NaN,NaN,0,NaN
1739810580,0.90083,0.9009,0.9008,0.9009,21,84.21052631580024,71.92982456139991,90,81.66666666668146,53.83248558301525,43.66179083897021,NaN,NaN,NaN,NaN
1739810640,0.90089,0.90089,0.90084,0.90084,17,68.42105263157126,73.68421052631425,80,-70.00000000003331,42.96064523615856,44.81711557254095,NaN,NaN,NaN,NaN
1739810700,0.90084,0.90084,0.90071,0.90072,21,36.84210526314252,63.157894736837996,90,-88.7464387464666,16.00266083809119,35.96539022803788,NaN,NaN,NaN,NaN
1739810760,0.90072,0.90072,0.90068,0.90068,8,26.315789473685747,43.85964912279983,50,-74.16666666666089,-8.247634947965073,20.238747611325365,NaN,0,NaN,NaN
1739810820,0.90069,0.90074,0.90069,0.90071,12,24.242424242419144,29.13343965974912,60,24.166666666688872,-16.70950013029178,4.748247875085783,NaN,NaN,0,NaN
1739810880,0.90072,0.90072,0.90068,0.90068,5,0,16.852737905368272,25,-76.66666666666667,-22.294776320135327,-8.539254670226535,NaN,0,NaN,NaN
1739810940,0.90069,0.9007,0.90066,0.90069,11,9.999999999992598,11.414141414137221,60,12.777777777790627,-25.580510660498863,-17.84685120211666,NaN,NaN,0,NaN
1739811000,0.90066,0.9007,0.90066,0.90066,8,0,3.3333333333308417,50,-54.16666666667823,-36.12916235002373,-26.101254570737918,NaN,NaN,NaN,NaN
1739811060,0.90064,0.90064,0.90062,0.90062,8,0,3.3333333333308417,50,-76.66666666667824,-50.2472407097442,-35.58622918005833,NaN,0,NaN,NaN
1739811120,0.90065,0.90065,0.90058,0.90062,4,12.499999999978316,4.166666666659414,25,-12.380952380971266,-63.7095858047866,-46.75867843694093,NaN,NaN,NaN,0
