time,open,high,low,close,Volume,%K,%D,Normalized Vol,Normalized Price,RROF Smooth,Signal Line,EoM +ve,EoM -ve,Compression +ve,Compression -ve
1736886240,232.98,233.16,232.98,233.1,9825,91.04477611940248,80.34825870646662,90,68.13725490196083,33.41483637373249,2.4471177983340264,NaN,NaN,NaN,NaN
1736886300,233.09,233.16,233.08,233.085,2992,88.80597014925522,88.34531048461345,50,-20.069444444441235,44.384171294850496,19.372499482350342,NaN,NaN,NaN,0
1736886360,233.08,233.12,233.02,233.06,6691,81.65137614678962,87.16737413848244,80,-25.119047619053344,40.25789779684212,30.939272775589096,NaN,NaN,NaN,0
1736886420,233.07,233.15,233.05,233.15,4367,98.07692307692487,89.51142312432324,60,88.20512820513189,45.02141577287887,39.33074026871069,0,NaN,NaN,NaN
1736886480,233.16,233.25,233.16,233.23,4641,96.33027522935583,92.01952481769011,60,68.88888888888079,55.731086239867146,46.7798644429874,NaN,NaN,NaN,NaN
1736886540,233.24,233.31,233.2,233.29,5480,96.4912280701736,96.96614212548478,70,58.737373737365765,67.63799200764718,54.73856794699172,NaN,NaN,NaN,NaN
1736886600,233.28,233.4,233.22,233.27,8234,80.3030303030309,91.04151120085345,90,-20.83333333332644,65.86439627606875,59.82452916487558,NaN,NaN,NaN,0
1736886660,233.24,233.26,233.03,233.03,5411,43.076923076922874,73.29039381670911,70,-92.69486878182683,39.73970008277517,54.77024331958037,NaN,0,NaN,NaN
1736886720,233.03,233.04,232.97,232.97,5017,33.84615384615338,52.408702408702375,70,-74.40065681445208,6.746994996265649,38.75293562638645,NaN,NaN,NaN,NaN
1736886780,232.96,232.99,232.86,232.86,6133,16.923076923078874,31.282051282051697,80,-88.00569800569758,-25.405065818523394,14.569902380037055,NaN,NaN,NaN,NaN
1736886840,232.88,232.93,232.87,232.93,6167,27.6923076923085,26.15384615384691,80,62.47863247863342,-29.45605487401132,-5.554383747582276,NaN,NaN,NaN,NaN
1736886900,232.94,233.09,232.9,233.09,6167,50,31.538461538462457,80,91.94577352472136,-12.87168964243326,-13.67761167256502,NaN,NaN,NaN,NaN
1736886960,233.06,233.19,233.02,233.09,5851,46.55172413793179,41.414677276746765,70,13.50574712643712,1.7248287294396671,-11.686261079023321,NaN,NaN,0,NaN
1736887020,233.08,233.13,232.94,232.97,9538,20.370370370367933,38.97403150276657,100,-75.05263157894858,-6.893172240253023,-10.033252718490152,NaN,NaN,NaN,NaN
1736887080,233.01,233.03,232.77,232.83,7543,9.523809523809954,25.481968010703227,90,-71.4387464387441,-24.97304050924666,-13.497522631853615,NaN,NaN,NaN,NaN
1736887140,232.84,232.87,232.72,232.72,6189,0,9.96472663139263,80,-84.24731182795769,-42.69374464705834,-22.897495611772754,NaN,NaN,NaN,NaN
1736887200,232.735,232.78,232.66,232.74,9328,10.810810810812368,6.778206778207441,90,9.702380952385182,-48.00620782405378,-33.1857769991539,NaN,NaN,0,NaN
1736887260,232.75,232.8,232.69,232.69,6165,4.054054054054157,4.954954954955508,70,-59.567099567099994,-53.01245631377546,-42.80050667100092,NaN,NaN,NaN,NaN
1736887320,232.7,232.7,232.565,232.59,11089,2.9940119760485566,5.952958946971694,100,-72.62017336485007,-61.709591243928095,-51.66512898335113,NaN,NaN,NaN,NaN
1736887380,232.62,232.865,232.55,232.82,12645,31.764705882351013,12.937590637484575,100,79.89417989417548,-47.6361107157281,-52.18416318605634,NaN,NaN,NaN,NaN
1736887440,232.83,232.98,232.82,232.98,9712,60.56338028168884,31.774032713362804,90,88.4932170542617,-22.081089915425892,-42.67398577489539,NaN,NaN,NaN,NaN
1736887500,232.98,233.08,232.93,232.93,16227,59.375000000000554,50.567695388013476,100,-44.65811965811552,-11.637864819524614,-31.056910313876173,NaN,NaN,NaN,0
1736887560,232.97,233.05,232.93,232.97,10085,65.62499999999945,61.854460093896286,90,-0.5555555555613481,-8.575836283691492,-20.843714874547857,NaN,NaN,NaN,0
1736887620,232.98,233.04,232.93,233,11559,70.31249999999972,65.10416666666657,90,22.853535353535467,-1.136094714009462,-11.1130469139978,NaN,NaN,0,NaN
1736887680,233,233.1,232.99,233.06,4739,79.68750000000028,71.87499999999982,50,48.3422459893088,13.421408575205177,-0.5681109590374376,NaN,NaN,NaN,NaN
1736887740,233.04,233.04,232.94,232.95,5028,62.499999999997776,70.83333333333259,60,-81.04166666667444,10.606562346567278,4.968041633648075,NaN,0,NaN,NaN
