time,open,high,low,close,Volume,%K,%D,Normalized Vol,Normalized Price,RROF Smooth,Signal Line,EoM +ve,EoM -ve,Compression +ve,Compression -ve
1739550900,1.05026,1.05032,1.05003,1.05019,149,29.090909090895146,36.71162171162546,80,-25.63218390806016,-75.53347824370036,-56.869304814534416,NaN,NaN,NaN,0
1739550960,1.05018,1.05038,1.05012,1.05026,187,41.81818181816934,35.1748251748191,100,39.98168498167154,-52.7250244713922,-58.79898388624534,NaN,NaN,0,NaN
1739551020,1.05026,1.05032,1.05018,1.05024,121,38.181818181822585,36.36363636362902,70,-15.659340659278426,-37.92174319769317,-53.40885837586066,NaN,NaN,NaN,0
1739551080,1.05023,1.05036,1.05017,1.05031,112,50.90909090909678,43.63636363636291,70,55.61403508776647,-9.548868627035608,-38.12033135858175,NaN,NaN,NaN,NaN
1739551140,1.05034,1.05038,1.05029,1.05033,137,54.54545454544353,47.87878787878763,80,9.113756613715678,10.10657111092606,-18.827425048871756,NaN,NaN,0,NaN
1739551200,1.05034,1.05035,1.05022,1.05026,141,41.81818181816934,49.09090909090322,90,-63.95833333332755,0.49737752139427255,-7.62012964648065,NaN,NaN,NaN,NaN
1739551260,1.05025,1.05041,1.05022,1.05026,102,41.81818181816934,46.06060606059407,70,-14.254385964903056,-13.571410305988806,-6.171153904223543,NaN,NaN,NaN,0
1739551320,1.05027,1.0503,1.05016,1.05018,184,33.33333333330044,38.989898989879705,100,-75.28571428576863,-37.52350307658286,-15.316450029858014,NaN,NaN,NaN,NaN
1739551380,1.05016,1.05019,1.05002,1.05005,105,6.521739130427437,27.22441809396574,70,-75.7352941176573,-55.09938772738614,-30.346923713834265,NaN,NaN,NaN,NaN
1739551440,1.05006,1.05015,1.05002,1.05002,159,0,13.285024154575956,90,-63.06938159879737,-69.81151816423193,-47.24473960340241,NaN,NaN,NaN,NaN
1739551500,1.05003,1.05013,1.04996,1.05,177,8.888888888896565,5.136876006441328,90,-41.50154798758843,-79.08701565003435,-61.90651536989416,NaN,NaN,NaN,0
1739551560,1.05,1.05002,1.04986,1.04986,69,0,2.962962962965514,50,-89.89197530865268,-86.95162611162381,-73.88420174548716,NaN,0,NaN,NaN
1739551620,1.04987,1.04996,1.0498,1.04986,112,9.836065573762138,6.2416514875529,70,-14.450757575773645,-92.22320206837294,-82.72706571962087,NaN,NaN,NaN,0
1739551680,1.04986,1.04986,1.04976,1.04976,92,0,3.2786885245873787,60,-91.66666666666667,-96.68112332584492,-89.40925684679256,NaN,0,NaN,NaN
1739551740,1.04977,1.04992,1.04977,1.0499,100,21.53846153846469,10.45817570407561,70,87.08333333338402,-74.809320384732,-86.02873128702937,0,NaN,NaN,NaN
1739551800,1.04992,1.04996,1.04984,1.0499,126,21.53846153846469,14.358974358976461,80,-0.8040935672370798,-57.273857716854344,-76.4698646899403,NaN,NaN,NaN,0
1739551860,1.04991,1.05002,1.0499,1.04995,92,29.23076923075399,24.10256410256112,60,32.77777777774694,-37.50834967850525,-61.77670594228016,NaN,NaN,NaN,NaN
1739551920,1.04994,1.04999,1.04994,1.04994,43,27.692307692316625,26.153846153845098,25,-25.277777777736656,-26.69923351058435,-46.776726900854314,NaN,NaN,NaN,NaN
1739551980,1.04994,1.04996,1.04985,1.0499,46,21.53846153846469,26.153846153845098,25,-37.099567099526816,-19.56179293923033,-33.765865572829696,NaN,0,NaN,NaN
1739552040,1.0499,1.0499,1.04981,1.04984,45,12.307692307703869,20.512820512828394,25,-59.999999999868415,-19.047760172652833,-25.72494868172022,NaN,0,NaN,NaN
1739552100,1.04984,1.04985,1.0497,1.04985,93,24.999999999981497,19.615384615383352,70,30.277777777729877,-5.4279846262418685,-16.861543955945706,NaN,NaN,0,NaN
1739552160,1.04984,1.04991,1.04976,1.04976,71,12.244897959176274,16.51753008895388,60,-71.50793650795295,-12.760605723719467,-13.898737802037887,NaN,NaN,NaN,NaN
1739552220,1.04975,1.04985,1.04974,1.04976,75,13.333333333326754,16.859410430828177,60,-20.16934046338662,-23.867743622405396,-16.288160544677762,NaN,NaN,NaN,0
1739552280,1.04976,1.04984,1.04972,1.0498,96,23.25581395348957,16.278015081997534,70,40.08547008550293,-18.316499375563474,-17.015934530915594,NaN,NaN,NaN,NaN
1739552340,1.04981,1.04981,1.04974,1.04975,60,15.624999999969642,17.40471576226199,60,-66.46825396823179,-26.492876164840578,-20.552187017823584,NaN,NaN,NaN,NaN
1739552400,1.04976,1.04986,1.04965,1.04965,131,0,12.960271317819739,90,-83.33333333333333,-45.125537325953054,-29.802985492289885,NaN,NaN,NaN,NaN
1739552460,1.04964,1.0497,1.04964,1.04966,22,5.263157894770671,6.962719298246772,25,-7.0454545453699255,-60.310153933048866,-41.46881932247404,NaN,NaN,NaN,0
1739552520,1.04968,1.04968,1.0496,1.04962,70,4.7619047618846215,3.3416875522184326,60,-60.83333333340503,-69.34707130712776,-52.97698906339588,NaN,NaN,NaN,NaN
1739552580,1.04963,1.0497,1.04961,1.04963,57,7.142857142853367,5.722639933169554,60,-10.092592592552341,-73.70422154966754,-62.905587039516135,NaN,NaN,NaN,0
1739552640,1.04962,1.04966,1.04962,1.04966,60,14.285714285706733,8.730158730148242,60,60.74074074073618,-57.14051152155188,-63.62043352799092,NaN,NaN,NaN,NaN
1739552700,1.04966,1.0497,1.04941,1.04948,135,12.06896551724336,11.165845648601154,100,-71.26436781609459,-55.47086867326917,-61.73555670992402,NaN,NaN,NaN,NaN
1739552760,1.0495,1.04962,1.04946,1.04962,140,38.181818181822585,21.512165994924228,100,78.01724137929753,-30.703540036348205,-50.90521492306242,NaN,NaN,NaN,NaN
1739552820,1.04962,1.04981,1.04953,1.04972,154,62.00000000001332,37.41692789969309,100,58.0952380952489,-4.114028517606402,-33.18547688973358,NaN,NaN,NaN,NaN
1739552880,1.04972,1.04977,1.04968,1.04972,147,62.00000000001332,54.06060606061641,100,4.100529100522796,16.143276438842808,-13.062173390223093,NaN,NaN,0,NaN
1739552940,1.04974,1.04977,1.04956,1.0496,68,38.000000000031086,54.00000000001925,60,-74.60317460313685,13.837072964279535,0.3025624185322755,NaN,0,NaN,NaN
1739553000,1.04958,1.04966,1.04951,1.04966,57,55.55555555556652,51.851851851870315,60,60.29914529914421,18.393388202677528,10.454231007698214,NaN,NaN,NaN,NaN
1739553060,1.04965,1.04972,1.04959,1.04971,65,66.66666666665022,53.407407407415945,60,64.17582417578213,28.950994976363674,19.200818063029754,NaN,NaN,NaN,NaN
1739553120,1.04972,1.04972,1.04962,1.04972,76,68.8888888888867,63.70370370370116,70,36.282051282060046,42.12507871288461,28.36179736302081,NaN,NaN,NaN,NaN
1739553180,1.04972,1.04975,1.04967,1.0497,103,64.44444444446309,66.66666666666667,80,-15.384615384555028,44.226462471165235,35.14063076707268,NaN,NaN,NaN,0
1739553240,1.04968,1.04977,1.04966,1.04976,96,87.50000000002775,73.61111111112585,80,76.81818181813901,52.6220680074025,42.845786947715474,NaN,NaN,NaN,NaN
1739553300,1.04977,1.04978,1.04963,1.04976,88,87.50000000002775,79.81481481483955,70,21.666666666691338,61.60432836648467,50.959363578510796,NaN,NaN,0,NaN
1739553360,1.04978,1.04986,1.04978,1.04982,80,91.11111111110344,88.70370370371967,70,46.8840579710047,70.29826147665143,59.09018856844123,NaN,NaN,NaN,NaN
1739553420,1.04982,1.05006,1.04978,1.05,263,90.76923076923917,89.7934472934568,100,73.80952380954268,78.69020395792923,67.26184328544508,NaN,NaN,NaN,NaN
1739553480,1.04999,1.05011,1.04992,1.0501,200,98.5714285714195,93.48392348392072,100,78.6018075491545,86.55998068296442,75.61908189445766,NaN,NaN,NaN,NaN
1739553540,1.05008,1.0501,1.04999,1.05006,125,92.30769230767655,93.88278388277841,80,-8.265550239238605,89.54322183490353,82.14849967333004,NaN,NaN,NaN,0
1739553600,1.05005,1.05006,1.04995,1.04995,142,73.33333333331359,88.07081807080321,90,-92.37373737372656,60.576302314385885,76.56086735686311,NaN,NaN,NaN,NaN
1739553660,1.04996,1.05,1.04988,1.04999,94,79.99999999998519,81.8803418803251,70,42.12962962961107,42.80208843753621,65.11703215158622,NaN,NaN,NaN,NaN
1739553720,1.04998,1.05,1.04986,1.0499,52,65.00000000000185,72.77777777776689,50,-62.857142857097536,24.387349150389298,49.36802871986803,NaN,0,NaN,NaN
1739553780,1.04989,1.04992,1.04979,1.04979,93,46.6666666666642,63.88888888888375,70,-84.8840048840096,3.52942592854383,30.28657453470402,NaN,0,NaN,NaN
1739553840,1.04981,1.04992,1.04976,1.0499,62,59.615384615382155,57.094017094016074,50,74.16666666673028,-4.864850101806939,13.942398656384455,0,NaN,NaN,NaN
1739553900,1.0499,1.0499,1.04972,1.04978,89,32.65306122447038,46.31170416883892,70,-66.66666666670572,-17.4764080742976,-0.3117584169846301,NaN,NaN,NaN,NaN
1739553960,1.04978,1.04993,1.04978,1.04992,77,60.41666666664161,50.89503750216472,60,89.52380952377972,-12.921243930859484,-7.844013416628779,0,NaN,NaN,NaN
1739554020,1.04991,1.04992,1.04975,1.04982,101,39.58333333331213,44.21768707480805,70,-54.72766884530338,-18.57424607904746,-13.545713641109206,NaN,NaN,NaN,NaN
